scale,run_id,workload,throughput_kops,p50_us,p99_us,elapsed_s,ok
1000000,3,RSW(25R/25W/50S),154.402,5.041,15.042,6.47662,1
1000000,4,RSW(25R/25W/50S),157.344,4.625,14.458,6.35548,1
1000000,5,RSW(25R/25W/50S),160.451,4.708,14.667,6.23244,1
1000000,1,RS(47R/47W/6S),228.555,3.416,13.958,4.37532,1
1000000,2,RS(47R/47W/6S),235.496,3.416,14.083,4.24635,1
1000000,3,RS(47R/47W/6S),232.674,3.416,14.083,4.29785,1
1000000,4,RS(47R/47W/6S),230.602,3.417,14,4.33647,1
1000000,5,RS(47R/47W/6S),232.872,3.417,14.042,4.2942,1
1000000,1,R(95R/5W),687.133,1,4.5,1.45532,1
1000000,2,R(95R/5W),696.977,1,4.459,1.43477,1
1000000,3,R(95R/5W),705.806,1,4.25,1.41682,1
1000000,4,R(95R/5W),694.496,1,4.375,1.43989,1
1000000,5,R(95R/5W),702.606,0.959,4.75,1.42327,1
3000000,1,A(50R/50U),261.031,3.292,7.291,11.4929,1
3000000,2,A(50R/50U),263.628,3.291,7.125,11.3797,1
3000000,3,A(50R/50U),263.437,3.292,7.042,11.3879,1
3000000,1,B(95R/5U),638.989,1.083,4.917,4.69491,1
3000000,2,B(95R/5U),636.595,1.083,5.166,4.71257,1
3000000,3,B(95R/5U),621.564,1.125,5.041,4.82653,1
3000000,1,C(100R),1250.86,0.459,2.542,2.39834,1
3000000,2,C(100R),1208.99,0.459,2.75,2.48142,1
3000000,3,C(100R),1184.96,0.459,2.833,2.53173,1
3000000,1,D(95R/5I),512.269,1.25,5.75,5.8563,1
3000000,2,D(95R/5I),513.88,1.25,5.542,5.83794,1
3000000,3,D(95R/5I),488.162,1.209,6.75,6.1455,1
3000000,1,E(95Scan/5I),125.87,5,21.083,23.8341,1
3000000,2,E(95Scan/5I),127.377,5,18.708,23.5521,1
3000000,3,E(95Scan/5I),126.768,4.5,19.25,23.6653,1
3000000,1,F(50R/50RMW),251.291,3.333,8.167,11.9384,1
3000000,2,F(50R/50RMW),253.335,3.292,7.792,11.842,1
3000000,3,F(50R/50RMW),256.184,3.292,7.417,11.7103,1
3000000,1,W(1R/99W),170.578,3.333,8.791,17.5873,1
3000000,2,W(1R/99W),139.54,3.333,9.167,21.4993,1
3000000,3,W(1R/99W),156.395,3.291,8.5,19.1822,1
3000000,1,RW(50R/50W),234.613,3.292,7.875,12.787,1
3000000,2,RW(50R/50W),225.581,3.292,7.875,13.299,1
3000000,3,RW(50R/50W),192.413,3.333,8.417,15.5915,1
3000000,1,RSW(25R/25W/50S),153.475,5.25,15.5,19.5472,1
3000000,2,RSW(25R/25W/50S),145.48,5.5,17.125,20.6214,1
3000000,3,RSW(25R/25W/50S),153.825,5.292,15.708,19.5027,1
3000000,1,RS(47R/47W/6S),226.148,3.375,16.667,13.2656,1
3000000,2,RS(47R/47W/6S),223.914,3.375,16.292,13.398,1
3000000,3,RS(47R/47W/6S),221.193,3.375,16.417,13.5628,1
3000000,1,R(95R/5W),627.915,1.084,5.084,4.77771,1
3000000,2,R(95R/5W),623.414,1.125,5.042,4.81221,1
3000000,3,R(95R/5W),623.864,1.125,5.125,4.80874,1
5000000,1,A(50R/50U),239.196,3.417,8.833,20.9034,1
5000000,2,A(50R/50U),202.058,3.417,10.959,24.7453,1
5000000,3,A(50R/50U),206.411,3.417,9.334,24.2236,1
5000000,1,B(95R/5U),564.911,1.167,5.459,8.85096,1
5000000,2,B(95R/5U),573.024,1.167,5.458,8.72563,1
5000000,3,B(95R/5U),561.704,1.166,5.333,8.90149,1
5000000,1,C(100R),1246.42,0.458,2.708,4.0115,1
5000000,2,C(100R),1275.09,0.458,2.625,3.92129,1
5000000,3,C(100R),1214.78,0.459,2.875,4.11598,1
5000000,1,D(95R/5I),523.309,1.25,5.375,9.55459,1
5000000,2,D(95R/5I),515.696,1.25,5.583,9.69563,1
5000000,3,D(95R/5I),503.741,1.25,6.292,9.92574,1
5000000,1,E(95Scan/5I),123.803,4.541,22.208,40.3868,1
5000000,2,E(95Scan/5I),122.04,4.75,22.208,40.9701,1
5000000,3,E(95Scan/5I),120.528,5,21.958,41.4843,1
5000000,1,F(50R/50RMW),246.236,3.375,7.958,20.3057,1
5000000,2,F(50R/50RMW),237.783,3.375,8.583,21.0276,1
5000000,3,F(50R/50RMW),244.394,3.375,8.541,20.4588,1
5000000,1,W(1R/99W),164.731,3.334,8.625,30.3525,1
5000000,2,W(1R/99W),165.322,3.333,8.916,30.244,1
5000000,3,W(1R/99W),134.192,3.334,9.292,37.26,1
5000000,1,RW(50R/50W),191.229,3.375,8.125,26.1466,1
5000000,2,RW(50R/50W),243.917,3.375,8.417,20.4987,1
5000000,3,RW(50R/50W),246.979,3.375,8.167,20.2446,1
5000000,1,RSW(25R/25W/50S),138.976,5.584,19.5,35.9774,1
5000000,2,RSW(25R/25W/50S),139.421,5.5,18.708,35.8626,1
5000000,3,RSW(25R/25W/50S),140.854,5.583,19.958,35.4976,1
5000000,1,RS(47R/47W/6S),202.316,3.5,20.666,24.7138,1
5000000,2,RS(47R/47W/6S),201.858,3.5,20.166,24.7698,1
5000000,3,RS(47R/47W/6S),194.761,3.5,21.167,25.6725,1
5000000,1,R(95R/5W),501.829,1.208,5.917,9.96356,1
5000000,2,R(95R/5W),459.177,1.208,6.042,10.889,1
5000000,3,R(95R/5W),566.321,1.208,5.375,8.82892,1
10000000,1,A(50R/50U),137.842,3.584,13.583,72.5467,1
10000000,2,A(50R/50U),207.501,3.417,9.916,48.1925,1
10000000,3,A(50R/50U),204.084,3.375,9.834,48.9995,1
10000000,1,B(95R/5U),515.241,1.292,6.667,19.4084,1
10000000,2,B(95R/5U),530.128,1.291,6.542,18.8634,1
10000000,3,B(95R/5U),510.853,1.292,6.708,19.5751,1
10000000,1,C(100R),1080.77,0.458,4.958,9.25267,1
10000000,2,C(100R),843.111,0.708,5.292,11.8608,1
10000000,3,C(100R),794.019,0.791,5.084,12.5942,1
10000000,1,D(95R/5I),434.836,1.333,6.791,22.9972,1
10000000,2,D(95R/5I),427.563,1.334,6.958,23.3884,1
10000000,3,D(95R/5I),422.395,1.334,6.958,23.6745,1
10000000,1,E(95Scan/5I),112.374,4.917,26.625,88.9888,1
10000000,2,E(95Scan/5I),110.867,5.042,27.625,90.1978,1
10000000,3,E(95Scan/5I),106.075,4.792,25.875,94.2732,1
10000000,1,F(50R/50RMW),189.639,3.375,9.375,52.7317,1
10000000,2,F(50R/50RMW),177.47,3.417,10.208,56.3477,1
10000000,3,F(50R/50RMW),191.553,3.417,12.375,52.2049,1
10000000,1,W(1R/99W),139.597,3.333,10.084,71.6348,1
10000000,2,W(1R/99W),145.186,3.334,8.833,68.8774,1
10000000,3,W(1R/99W),145.061,3.333,8.5,68.9363,1
10000000,1,RW(50R/50W),185.874,3.416,8.833,53.8,1
10000000,2,RW(50R/50W),219.957,3.375,8.667,45.4635,1
10000000,3,RW(50R/50W),224.241,3.333,8.125,44.5949,1
10000000,1,RSW(25R/25W/50S),133.652,5.833,19.417,74.8212,1
10000000,2,RSW(25R/25W/50S),123.357,5.959,20.166,81.0652,1
10000000,3,RSW(25R/25W/50S),112.987,5.834,19.375,88.5056,1
10000000,1,RS(47R/47W/6S),167.256,3.458,21.5,59.7887,1
10000000,2,RS(47R/47W/6S),197.006,3.459,19.583,50.7598,1
10000000,3,RS(47R/47W/6S),193.42,3.5,21.667,51.7009,1
10000000,1,R(95R/5W),549.233,1.25,6,18.2072,1
10000000,2,R(95R/5W),533.535,1.291,6.292,18.7429,1
10000000,3,R(95R/5W),553.472,1.25,6.125,18.0678,1
15000000,1,A(50R/50U),207.41,3.375,8.375,72.3206,1
15000000,2,A(50R/50U),208.459,3.333,8.292,71.9566,1
15000000,3,A(50R/50U),208.336,3.375,8.333,71.9991,1
15000000,1,B(95R/5U),473.76,1.333,6.833,31.6616,1
15000000,2,B(95R/5U),472.491,1.334,6.875,31.7466,1
15000000,3,B(95R/5U),470.242,1.334,6.834,31.8985,1
15000000,1,C(100R),779.217,0.708,5.792,19.2501,1
15000000,2,C(100R),783.431,0.708,5.75,19.1465,1
15000000,3,C(100R),977.894,0.542,4.75,15.3391,1
15000000,1,D(95R/5I),401.261,1.375,7.25,37.3821,1
15000000,2,D(95R/5I),399.347,1.375,7.5,37.5614,1
15000000,3,D(95R/5I),394.85,1.375,7.583,37.9891,1
15000000,1,E(95Scan/5I),105.345,5.083,33,142.389,1
15000000,2,E(95Scan/5I),107.383,4.916,30.25,139.687,1
15000000,3,E(95Scan/5I),83.1673,5.167,31.167,180.359,1
15000000,1,F(50R/50RMW),204.155,3.375,9.125,73.4737,1
15000000,2,F(50R/50RMW),204.473,3.375,9.125,73.3592,1
15000000,3,F(50R/50RMW),199.364,3.375,8.417,75.2394,1
15000000,1,W(1R/99W),141.756,3.25,8.375,105.816,1
15000000,2,W(1R/99W),133.91,3.334,9.584,112.015,1
15000000,3,W(1R/99W),122.142,3.291,8.833,122.808,1
15000000,1,RW(50R/50W),178.61,3.375,8.584,83.9819,1
15000000,2,RW(50R/50W),199.4,3.375,8.541,75.2256,1
15000000,3,RW(50R/50W),206.124,3.375,8.625,72.7718,1
15000000,1,RSW(25R/25W/50S),122.653,6.375,21.709,122.297,1
15000000,2,RSW(25R/25W/50S),126.844,6.167,20,118.256,1
15000000,3,RSW(25R/25W/50S),129.458,6.291,20.125,115.868,1
15000000,1,RS(47R/47W/6S),161.742,3.5,19.25,92.7402,1
15000000,2,RS(47R/47W/6S),167.463,3.458,17.75,89.5718,1
15000000,3,RS(47R/47W/6S),185.284,3.417,16.792,80.9566,1
15000000,1,R(95R/5W),512.794,1.334,6.625,29.2515,1
15000000,2,R(95R/5W),521.632,1.375,6.417,28.7559,1
15000000,3,R(95R/5W),519.875,1.292,6.166,28.8531,1
